distance,dropoff_h3,duration,pickup_h3
29348.1,8a2a1008b2c7fff,1664.0,882a103b39fffff
28522.7,8a2a100d25b7fff,1624.3,882a103b39fffff
30596.8,8a2a10088ac7fff,1715.8,882a103b39fffff
29330.0,8a2a10089927fff,1617.5,882a103b39fffff
34283.6,8a2a100a130ffff,1829.2,882a103b39fffff
28729.9,8a2a100d2597fff,1651.5,882a103b39fffff
24140.2,8a2a1072c0c7fff,1615.8,882a103b39fffff
29878.2,8a2a1008c90ffff,1708.3,882a103b39fffff
26951.7,8a2a100d6187fff,1525.3,882a103b39fffff
23068.2,8a2a100d36a7fff,1526.1,882a103b39fffff
29330.6,8a2a100ab59ffff,1678.8,882a103b39fffff
28051.2,8a2a1072c967fff,1663.6,882a103b39fffff
28703.1,8a2a1008c2effff,1636.9,882a103b39fffff
28779.1,8a2a1008d637fff,1640.0,882a103b39fffff
28868.4,8a2a1008d59ffff,1657.5,882a103b39fffff
28597.9,8a2a1008d5a7fff,1623.7,882a103b39fffff
26091.5,8a2a100d6a17fff,1470.7,882a103b39fffff
27116.1,8a2a100d2d1ffff,1479.2,882a103b39fffff
29086.7,8a2a100d24effff,1743.6,882a103b39fffff
32797.8,8a2a100aa8effff,1752.6,882a103b39fffff
27345.1,8a2a100d6adffff,1498.1,882a103b39fffff
29560.7,8a2a1072592ffff,1666.1,882a103b39fffff
28613.9,8a2a1008c047fff,1650.9,882a103b39fffff
28145.6,8a2a1008c307fff,1594.4,882a103b39fffff
28290.2,8a2a100d642ffff,1571.5,882a103b39fffff
24792.5,8a2a1072c6f7fff,1645.3,882a103b39fffff
27081.7,8a2a100d66c7fff,1489.6,882a103b39fffff
29985.1,8a2a1008c287fff,1756.0,882a103b39fffff
29552.2,8a2a1008c837fff,1667.5,882a103b39fffff
27336.5,8a2a10725aeffff,1479.4,882a103b39fffff
36067.7,8a2a1008c897fff,1881.4,882a103b39fffff
24069.1,8a2a1072dd5ffff,1607.7,882a103b39fffff
30409.6,8a2a100aa297fff,1749.4,882a103b39fffff
24802.1,8a2a1072c717fff,1669.2,882a103b39fffff
33013.8,8a2a100ae98ffff,1732.7,882a103b39fffff
28894.4,8a2a100d24d7fff,1716.0,882a103b39fffff
25245.0,8a2a1072cc2ffff,1766.2,882a103b39fffff
